country,code,region_code,region,admin_region_code,admin_region,income_level_code,income_level,lending_type_code,lending_type
Fiji,FJI,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),UMC,Upper middle income,IDB,Blend
France,FRA,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Faroe Islands,FRO,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
"Micronesia, Fed. Sts.",FSM,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),LMC,Lower middle income,IDX,IDA
Gabon,GAB,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),UMC,Upper middle income,IBD,IBRD
United Kingdom,GBR,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Georgia,GEO,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD
Ghana,GHA,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IDX,IDA
Gibraltar,GIB,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Guinea,GIN,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
"Gambia, The",GMB,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Guinea-Bissau,GNB,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Equatorial Guinea,GNQ,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),UMC,Upper middle income,IBD,IBRD
Greece,GRC,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Grenada,GRD,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IDB,Blend
Greenland,GRL,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Guatemala,GTM,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD
Guam,GUM,EAS,East Asia & Pacific,,,HIC,High income,LNX,Not classified
Guyana,GUY,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IDX,IDA
